"DateTime","Temperature","Dew Point","Relative Humidity"
"2025-01-13 16:53:00",12.8,-4.01,31.02
"2025-01-13 17:53:00",9.4,-3.42,40.65
"2025-01-13 18:53:00",8.3,-2.31,47.52
"2025-01-13 19:53:00",6.1,-2.3,55.24
"2025-01-13 20:53:00",5.6,-2.3,57.19
"2025-01-13 21:53:00",3.3,-2.28,67.18
"2025-01-13 22:53:00",3.3,-2.28,67.18
"2025-01-13 23:53:00",2.2,-2.87,69.47
"2025-01-14 00:53:00",2.8,-2.27,69.6
"2025-01-14 01:53:00",1.7,-2.87,72
"2025-01-14 02:53:00",0.6,-3.36,75.08
"2025-01-14 03:53:00",0.6,-3.36,75.08
"2025-01-14 04:53:00",0,-3.35,78.42
"2025-01-14 05:53:00",0.6,-3.36,75.08
"2025-01-14 06:53:00",-0.6,-3.95,78.32
"2025-01-14 07:53:00",0.6,-2.85,77.93
"2025-01-14 08:53:00",4.4,-0.67,69.94
"2025-01-14 09:53:00",7.8,0.52,60.34
"2025-01-14 10:53:00",11.1,-0.1,46.28
"2025-01-14 11:53:00",13.9,-1.2,35.55
"2025-01-14 12:53:00",15,-0.7,34.34
"2025-01-14 13:53:00",15.6,0.51,36.06
"2025-01-14 14:53:00",16.1,0.51,34.92
"2025-01-14 15:53:00",15.6,0.51,36.06
"2025-01-14 16:53:00",14.4,-0.1,37.29
"2025-01-14 17:53:00",11.1,0.5,48.34
"2025-01-14 18:53:00",8.9,0.51,56
"2025-01-14 19:53:00",7.2,-0.08,60.19
"2025-01-14 20:53:00",5,-0.67,67.07
"2025-01-14 21:53:00",5,-0.67,67.07
"2025-01-14 22:53:00",4.4,-1.17,67.43
"2025-01-14 23:53:00",3.9,-1.17,69.83
"2025-01-15 00:53:00",3.3,-1.16,72.85
"2025-01-15 01:53:00",1.7,-1.75,78.11
"2025-01-15 02:53:00",2.2,-1.76,75.37
"2025-01-15 03:53:00",1.7,-1.75,78.11
"2025-01-15 04:53:00",1.7,-1.75,78.11
"2025-01-15 05:53:00",1.7,-1.75,78.11
"2025-01-15 06:53:00",1.7,-1.75,78.11
"2025-01-15 07:53:00",1.7,-1.75,78.11
"2025-01-15 08:53:00",4.4,1.66,82.59
"2025-01-15 09:53:00",7.2,1.03,65.17
"2025-01-15 10:53:00",10.6,1.61,54.09
"2025-01-15 11:53:00",12.8,2.71,50.59
"2025-01-15 12:53:00",15.6,2.72,42.21
"2025-01-15 13:53:00",16.7,2.12,37.71
"2025-01-15 14:53:00",16.1,2.72,40.88
"2025-01-15 15:53:00",15,2.72,43.87
"2025-01-15 16:53:00",12.8,2.71,50.59
"2025-01-15 17:53:00",10,2.12,58.34
"2025-01-15 18:53:00",9.4,2.12,60.74
"2025-01-15 19:53:00",7.2,1.63,68.04
"2025-01-15 20:53:00",5.6,1.04,72.76
"2025-01-15 21:53:00",5.6,1.04,72.76
"2025-01-15 22:53:00",3.9,0.55,79.03
"2025-01-15 23:53:00",3.3,-0.05,78.94
"2025-01-16 00:53:00",2.2,-0.03,85.35
"2025-01-16 01:53:00",1.1,-1.13,85.23
"2025-01-16 02:53:00",1.7,-1.14,81.63
"2025-01-16 03:53:00",1.7,-1.14,81.63
"2025-01-16 04:53:00",0.6,-1.74,84.55
"2025-01-16 05:53:00",1.1,-1.74,81.55
"2025-01-16 06:53:00",0.6,-1.74,84.55
"2025-01-16 07:53:00",1.1,-1.13,85.23
"2025-01-16 08:53:00",3.9,0.55,79.03
"2025-01-16 09:53:00",7.8,2.13,67.68
"2025-01-16 10:53:00",11.1,3.22,58.63
"2025-01-16 11:53:00",13.9,2.71,47.09
"2025-01-16 12:53:00",16.1,3.22,42.36
"2025-01-16 13:53:00",17.2,2.73,38.13
"2025-01-16 14:53:00",17.8,3.83,39.68
"2025-01-16 15:53:00",17.8,3.23,38.04
"2025-01-16 16:53:00",16.7,2.72,39.35
"2025-01-16 17:53:00",11.7,4.33,60.88
"2025-01-16 18:53:00",10,3.23,63.08
"2025-01-16 19:53:00",7.8,2.74,70.64
"2025-01-16 20:53:00",7.2,2.74,73.59
"2025-01-16 21:53:00",6.1,1.64,73.38
"2025-01-16 22:53:00",4.4,1.05,79.11
"2025-01-16 23:53:00",3.3,-0.05,78.94
"2025-01-17 00:53:00",3.3,-0.05,78.94
"2025-01-17 01:53:00",2.8,-0.04,81.79
"2025-01-17 02:53:00",2.2,-1.15,78.77
"2025-01-17 03:53:00",1.1,-1.74,81.55
"2025-01-17 04:53:00",1.1,-1.74,81.55
"2025-01-17 05:53:00",1.1,-1.74,81.55
"2025-01-17 06:53:00",1.1,-1.74,81.55
"2025-01-17 07:53:00",0.6,-1.74,84.55
"2025-01-17 08:53:00",5,0.54,73.18
"2025-01-17 09:53:00",7.2,2.74,73.59
"2025-01-17 10:53:00",10,4.34,68.16
"2025-01-17 11:53:00",12.2,6.04,66.3
"2025-01-17 12:53:00",14.4,4.93,53.22
"2025-01-17 13:53:00",14.4,NaN,NaN
"2025-01-17 14:53:00",13.9,NaN,NaN
"2025-01-17 15:53:00",13.3,NaN,NaN
"2025-01-17 16:53:00",11.1,NaN,NaN
"2025-01-17 17:53:00",8.9,NaN,NaN
"2025-01-17 18:53:00",7.8,NaN,NaN
"2025-01-17 19:53:00",6.7,NaN,NaN
"2025-01-17 20:53:00",5.6,NaN,NaN
"2025-01-17 21:53:00",5.6,NaN,NaN
"2025-01-17 22:53:00",6.7,NaN,NaN
"2025-01-17 23:53:00",7.2,NaN,NaN
"2025-01-18 00:53:00",7.8,NaN,NaN
"2025-01-18 01:53:00",7.2,NaN,NaN
"2025-01-18 02:53:00",7.2,NaN,NaN
"2025-01-18 03:53:00",6.7,NaN,NaN
"2025-01-18 04:53:00",6.1,NaN,NaN
"2025-01-18 05:53:00",5.6,NaN,NaN
"2025-01-18 06:53:00",5,NaN,NaN
"2025-01-18 07:53:00",4.4,NaN,NaN
"2025-01-18 08:53:00",3.9,NaN,NaN
"2025-01-18 09:53:00",5,NaN,NaN
"2025-01-18 10:53:00",8.3,4.35,76.43
"2025-01-18 11:53:00",10,4.95,71.08
"2025-01-18 12:53:00",13.3,5.53,59.6
"2025-01-18 13:53:00",16.7,1.02,34.85
"2025-01-18 14:53:00",16.1,1.62,37.8
"2025-01-18 15:53:00",16.1,1.62,37.8
"2025-01-18 16:53:00",14.4,2.71,45.59
"2025-01-18 17:53:00",10.6,2.12,56.05
"2025-01-18 18:53:00",7.8,1.63,65.31
"2025-01-18 19:53:00",7.2,1.63,68.04
"2025-01-18 20:53:00",6.1,1.03,70.29
"2025-01-18 21:53:00",4.4,0.55,76.31
"2025-01-18 22:53:00",3.9,-0.06,75.67
"2025-01-18 23:53:00",3.3,-0.05,78.94
"2025-01-19 00:53:00",2.8,-0.65,78.29
"2025-01-19 01:53:00",1.7,-1.14,81.63
"2025-01-19 02:53:00",1.7,-1.14,81.63
"2025-01-19 03:53:00",1.1,-1.74,81.55
"2025-01-19 04:53:00",0.6,-1.74,84.55
"2025-01-19 05:53:00",0,-1.73,88.3
"2025-01-19 06:53:00",0,-2.24,85.1
"2025-01-19 07:53:00",0.6,-1.74,84.55
"2025-01-19 08:53:00",3.3,0.56,82.45
"2025-01-19 09:53:00",6.1,1.64,73.38
"2025-01-19 10:53:00",8.9,3.23,67.92
"2025-01-19 11:53:00",11.1,6.05,71.29
"2025-01-19 12:53:00",12.2,6.04,66.3
"2025-01-19 13:53:00",13.3,6.04,61.69
"2025-01-19 14:53:00",13.3,6.04,61.69
"2025-01-19 15:53:00",12.8,6.04,63.74
"2025-01-19 16:53:00",10,5.55,74.1
"2025-01-19 17:53:00",8.3,5.57,83.1
"2025-01-19 18:53:00",7.2,4.97,85.9
"2025-01-19 19:53:00",6.1,4.38,88.85
"2025-01-19 20:53:00",5.6,4.38,91.98
"2025-01-19 21:53:00",4.4,3.28,92.55
"2025-01-19 22:53:00",6.1,4.98,92.65
"2025-01-19 23:53:00",6.7,5.59,92.69
"2025-01-20 00:53:00",6.1,4.98,92.65
"2025-01-20 01:53:00",5.6,4.99,95.91
"2025-01-20 02:53:00",5,4.39,95.89
"2025-01-20 03:53:00",5,4.39,95.89
"2025-01-20 04:53:00",3.3,3.3,100
"2025-01-20 05:53:00",1.7,1.09,95.78
"2025-01-20 06:53:00",1.1,1.1,100
"2025-01-20 07:53:00",3.9,-0.66,72.44
"2025-01-20 08:53:00",10,-3.42,39.05
"2025-01-20 09:53:00",12.2,-6.82,26.08
"2025-01-20 10:53:00",13.3,-6.21,25.41
"2025-01-20 11:53:00",14.4,-5.1,25.73
"2025-01-20 12:53:00",15,-6.19,22.77
"2025-01-20 13:53:00",15.6,-6.19,21.91
"2025-01-20 14:53:00",15.6,-5.69,22.76
"2025-01-20 15:53:00",15.6,-5.09,23.82
"2025-01-20 16:53:00",13.9,-5.1,26.58
"2025-01-20 17:53:00",11.1,-5.12,31.93
"2025-01-20 18:53:00",7.8,-4.02,43.31
"2025-01-20 19:53:00",7.8,-4.52,41.71
"2025-01-20 20:53:00",5.6,-4.52,48.52
"2025-01-20 21:53:00",4.4,-4.51,52.75
"2025-01-20 22:53:00",4.4,-5.12,50.41
"2025-01-20 23:53:00",3.3,-4.5,57
"2025-01-21 00:53:00",1.7,-5.09,61.04
"2025-01-21 01:53:00",1.7,-5.09,61.04
"2025-01-21 02:53:00",1.7,-5.7,58.32
"2025-01-21 03:53:00",0.6,-5.69,63.12
"2025-01-21 04:53:00",0.6,-6.2,60.75
"2025-01-21 05:53:00",0.6,-5.69,63.12
"2025-01-21 06:53:00",0.6,-5.08,66.06
"2025-01-21 07:53:00",0,-5.08,69
"2025-01-21 08:53:00",3.9,-2.89,61.59
"2025-01-21 09:53:00",7.8,-3.42,45.3
"2025-01-21 10:53:00",10,-4.52,35.96
"2025-01-21 11:53:00",13.9,-4.51,27.81
"2025-01-21 12:53:00",15,-5.1,24.75
"2025-01-21 13:53:00",16.1,-3.39,26.22
"2025-01-21 14:53:00",17.8,-3.97,22.51
"2025-01-21 15:53:00",15.6,0.51,36.06
"2025-01-21 16:53:00",12.8,0.5,43.22
"2025-01-21 17:53:00",10,0.51,52.01
"2025-01-21 18:53:00",8.9,-0.09,53.62
"2025-01-21 19:53:00",6.1,-0.08,64.92
"2025-01-21 20:53:00",5,-0.67,67.07
"2025-01-21 21:53:00",3.3,-2.28,67.18
"2025-01-21 22:53:00",2.8,-2.27,69.6
"2025-01-21 23:53:00",2.2,-2.26,72.64
"2025-01-22 00:53:00",1.1,-2.86,75.17
"2025-01-22 01:53:00",0.6,-2.85,77.93
"2025-01-22 02:53:00",0.6,-3.36,75.08
"2025-01-22 03:53:00",-0.6,-3.95,78.32
"2025-01-22 04:53:00",-0.6,-3.34,81.92
"2025-01-22 05:53:00",0.6,-3.36,75.08
"2025-01-22 06:53:00",-0.6,-3.95,78.32
"2025-01-22 07:53:00",1.1,-2.86,75.17
"2025-01-22 08:53:00",3.9,-0.66,72.44
"2025-01-22 09:53:00",8.9,1.01,58.06
"2025-01-22 10:53:00",16.1,-3.99,25.07
"2025-01-22 11:53:00",17.8,-4.47,21.68
"2025-01-22 12:53:00",17.8,-4.47,21.68
"2025-01-22 13:53:00",18.3,-4.46,21.01
"2025-01-22 14:53:00",18.3,-3.96,21.82
"2025-01-22 15:53:00",17.2,-2.88,25.38
"2025-01-22 16:53:00",15,-3.4,28.13
"2025-01-22 17:53:00",13.3,-3.41,31.41
"2025-01-22 18:53:00",11.1,-2.91,37.67
"2025-01-22 19:53:00",8.9,-2.31,45.63
